date,instrument,close,price_type,data_source,data_version,is_synthetic
2021-02-08,SYN_LONG_CLOSED,9.53,synthetic,long_horizon_market_v1,v1,true
2021-02-09,SYN_LONG_CLOSED,9.44,synthetic,long_horizon_market_v1,v1,true
2021-02-10,SYN_LONG_CLOSED,9.35,synthetic,long_horizon_market_v1,v1,true
2021-02-11,SYN_LONG_CLOSED,9.27,synthetic,long_horizon_market_v1,v1,true
2021-02-12,SYN_LONG_CLOSED,9.56,synthetic,long_horizon_market_v1,v1,true
2021-02-15,SYN_LONG_CLOSED,9.30,synthetic,long_horizon_market_v1,v1,true
2021-02-16,SYN_LONG_CLOSED,9.60,synthetic,long_horizon_market_v1,v1,true
2021-02-17,SYN_LONG_CLOSED,9.52,synthetic,long_horizon_market_v1,v1,true
2021-02-18,SYN_LONG_CLOSED,9.43,synthetic,long_horizon_market_v1,v1,true
2021-02-19,SYN_LONG_CLOSED,9.73,synthetic,long_horizon_market_v1,v1,true
2021-02-22,SYN_LONG_CLOSED,9.47,synthetic,long_horizon_market_v1,v1,true
2021-02-23,SYN_LONG_CLOSED,9.77,synthetic,long_horizon_market_v1,v1,true
2021-02-24,SYN_LONG_CLOSED,9.68,synthetic,long_horizon_market_v1,v1,true
2021-02-25,SYN_LONG_CLOSED,9.60,synthetic,long_horizon_market_v1,v1,true
2021-02-26,SYN_LONG_CLOSED,9.51,synthetic,long_horizon_market_v1,v1,true
2021-03-01,SYN_LONG_CLOSED,9.85,synthetic,long_horizon_market_v1,v1,true
2021-03-02,SYN_LONG_CLOSED,9.76,synthetic,long_horizon_market_v1,v1,true
2021-03-03,SYN_LONG_CLOSED,9.67,synthetic,long_horizon_market_v1,v1,true
2021-03-04,SYN_LONG_CLOSED,9.97,synthetic,long_horizon_market_v1,v1,true
2021-03-05,SYN_LONG_CLOSED,9.88,synthetic,long_horizon_market_v1,v1,true
2021-03-08,SYN_LONG_CLOSED,10.01,synthetic,long_horizon_market_v1,v1,true
2021-03-09,SYN_LONG_CLOSED,9.92,synthetic,long_horizon_market_v1,v1,true
2021-03-10,SYN_LONG_CLOSED,9.84,synthetic,long_horizon_market_v1,v1,true
2021-03-11,SYN_LONG_CLOSED,9.75,synthetic,long_horizon_market_v1,v1,true
2021-03-12,SYN_LONG_CLOSED,10.05,synthetic,long_horizon_market_v1,v1,true
2021-03-15,SYN_LONG_CLOSED,10.00,synthetic,long_horizon_market_v1,v1,true
2021-03-16,SYN_LONG_CLOSED,10.08,synthetic,long_horizon_market_v1,v1,true
2021-03-17,SYN_LONG_CLOSED,9.98,synthetic,long_horizon_market_v1,v1,true
2021-03-18,SYN_LONG_CLOSED,9.88,synthetic,long_horizon_market_v1,v1,true
2021-03-19,SYN_LONG_CLOSED,10.17,synthetic,long_horizon_market_v1,v1,true
2021-03-22,SYN_LONG_CLOSED,9.88,synthetic,long_horizon_market_v1,v1,true
2021-03-23,SYN_LONG_CLOSED,10.17,synthetic,long_horizon_market_v1,v1,true
2021-03-24,SYN_LONG_CLOSED,10.07,synthetic,long_horizon_market_v1,v1,true
2021-03-25,SYN_LONG_CLOSED,9.97,synthetic,long_horizon_market_v1,v1,true
2021-03-26,SYN_LONG_CLOSED,10.26,synthetic,long_horizon_market_v1,v1,true
2021-03-29,SYN_LONG_CLOSED,9.97,synthetic,long_horizon_market_v1,v1,true
2021-03-30,SYN_LONG_CLOSED,10.26,synthetic,long_horizon_market_v1,v1,true
2021-03-31,SYN_LONG_CLOSED,10.16,synthetic,long_horizon_market_v1,v1,true
2021-04-01,SYN_LONG_CLOSED,10.06,synthetic,long_horizon_market_v1,v1,true
2021-04-02,SYN_LONG_CLOSED,9.97,synthetic,long_horizon_market_v1,v1,true
2021-04-05,SYN_LONG_CLOSED,10.06,synthetic,long_horizon_market_v1,v1,true
2021-04-06,SYN_LONG_CLOSED,10.35,synthetic,long_horizon_market_v1,v1,true
2021-04-07,SYN_LONG_CLOSED,10.25,synthetic,long_horizon_market_v1,v1,true
2021-04-08,SYN_LONG_CLOSED,10.15,synthetic,long_horizon_market_v1,v1,true
2021-04-09,SYN_LONG_CLOSED,10.06,synthetic,long_horizon_market_v1,v1,true
2021-04-12,SYN_LONG_CLOSED,10.15,synthetic,long_horizon_market_v1,v1,true
2021-04-13,SYN_LONG_CLOSED,10.05,synthetic,long_horizon_market_v1,v1,true
2021-04-14,SYN_LONG_CLOSED,10.34,synthetic,long_horizon_market_v1,v1,true
2021-04-15,SYN_LONG_CLOSED,10.24,synthetic,long_horizon_market_v1,v1,true
2021-04-16,SYN_LONG_CLOSED,10.15,synthetic,long_horizon_market_v1,v1,true
2021-04-19,SYN_LONG_CLOSED,10.24,synthetic,long_horizon_market_v1,v1,true
2021-04-20,SYN_LONG_CLOSED,10.14,synthetic,long_horizon_market_v1,v1,true
2021-04-21,SYN_LONG_CLOSED,10.43,synthetic,long_horizon_market_v1,v1,true
2021-04-22,SYN_LONG_CLOSED,10.33,synthetic,long_horizon_market_v1,v1,true
2021-04-23,SYN_LONG_CLOSED,10.24,synthetic,long_horizon_market_v1,v1,true
2021-04-26,SYN_LONG_CLOSED,10.33,synthetic,long_horizon_market_v1,v1,true
2021-04-27,SYN_LONG_CLOSED,10.23,synthetic,long_horizon_market_v1,v1,true
2021-04-28,SYN_LONG_CLOSED,10.52,synthetic,long_horizon_market_v1,v1,true
2021-04-29,SYN_LONG_CLOSED,10.42,synthetic,long_horizon_market_v1,v1,true
2021-04-30,SYN_LONG_CLOSED,10.33,synthetic,long_horizon_market_v1,v1,true
2021-05-03,SYN_LONG_CLOSED,10.49,synthetic,long_horizon_market_v1,v1,true
2021-05-04,SYN_LONG_CLOSED,10.39,synthetic,long_horizon_market_v1,v1,true
2021-05-05,SYN_LONG_CLOSED,10.30,synthetic,long_horizon_market_v1,v1,true
2021-05-06,SYN_LONG_CLOSED,10.58,synthetic,long_horizon_market_v1,v1,true
2021-05-07,SYN_LONG_CLOSED,10.49,synthetic,long_horizon_market_v1,v1,true
2021-05-10,SYN_LONG_CLOSED,10.58,synthetic,long_horizon_market_v1,v1,true
2021-05-11,SYN_LONG_CLOSED,10.48,synthetic,long_horizon_market_v1,v1,true
2021-05-12,SYN_LONG_CLOSED,10.39,synthetic,long_horizon_market_v1,v1,true
2021-05-13,SYN_LONG_CLOSED,10.29,synthetic,long_horizon_market_v1,v1,true
2021-05-14,SYN_LONG_CLOSED,10.58,synthetic,long_horizon_market_v1,v1,true
2021-05-17,SYN_LONG_CLOSED,10.67,synthetic,long_horizon_market_v1,v1,true
2021-05-18,SYN_LONG_CLOSED,10.57,synthetic,long_horizon_market_v1,v1,true
2021-05-19,SYN_LONG_CLOSED,10.48,synthetic,long_horizon_market_v1,v1,true
2021-05-20,SYN_LONG_CLOSED,10.38,synthetic,long_horizon_market_v1,v1,true
2021-05-21,SYN_LONG_CLOSED,10.67,synthetic,long_horizon_market_v1,v1,true
2021-05-24,SYN_LONG_CLOSED,10.38,synthetic,long_horizon_market_v1,v1,true
2021-05-25,SYN_LONG_CLOSED,10.66,synthetic,long_horizon_market_v1,v1,true
2021-05-26,SYN_LONG_CLOSED,10.57,synthetic,long_horizon_market_v1,v1,true
2021-05-27,SYN_LONG_CLOSED,10.47,synthetic,long_horizon_market_v1,v1,true
2021-05-28,SYN_LONG_CLOSED,10.76,synthetic,long_horizon_market_v1,v1,true
2021-05-31,SYN_LONG_CLOSED,10.47,synthetic,long_horizon_market_v1,v1,true
2021-06-01,SYN_LONG_CLOSED,10.75,synthetic,long_horizon_market_v1,v1,true
2021-06-02,SYN_LONG_CLOSED,10.66,synthetic,long_horizon_market_v1,v1,true
2021-06-03,SYN_LONG_CLOSED,10.56,synthetic,long_horizon_market_v1,v1,true
2021-06-04,SYN_LONG_CLOSED,10.46,synthetic,long_horizon_market_v1,v1,true
