date,instrument,close,price_type,data_source,data_version,is_synthetic
2021-03-01,SYN_LONG_OPEN,9.30,synthetic,long_horizon_market_v1,v1,true
2021-03-02,SYN_LONG_OPEN,9.22,synthetic,long_horizon_market_v1,v1,true
2021-03-03,SYN_LONG_OPEN,9.14,synthetic,long_horizon_market_v1,v1,true
2021-03-04,SYN_LONG_OPEN,9.44,synthetic,long_horizon_market_v1,v1,true
2021-03-05,SYN_LONG_OPEN,9.36,synthetic,long_horizon_market_v1,v1,true
2021-03-08,SYN_LONG_OPEN,9.50,synthetic,long_horizon_market_v1,v1,true
2021-03-09,SYN_LONG_OPEN,9.41,synthetic,long_horizon_market_v1,v1,true
2021-03-10,SYN_LONG_OPEN,9.33,synthetic,long_horizon_market_v1,v1,true
2021-03-11,SYN_LONG_OPEN,9.25,synthetic,long_horizon_market_v1,v1,true
2021-03-12,SYN_LONG_OPEN,9.55,synthetic,long_horizon_market_v1,v1,true
2021-03-15,SYN_LONG_OPEN,9.69,synthetic,long_horizon_market_v1,v1,true
2021-03-16,SYN_LONG_OPEN,9.60,synthetic,long_horizon_market_v1,v1,true
2021-03-17,SYN_LONG_OPEN,9.52,synthetic,long_horizon_market_v1,v1,true
2021-03-18,SYN_LONG_OPEN,9.44,synthetic,long_horizon_market_v1,v1,true
2021-03-19,SYN_LONG_OPEN,9.74,synthetic,long_horizon_market_v1,v1,true
2021-03-22,SYN_LONG_OPEN,9.49,synthetic,long_horizon_market_v1,v1,true
2021-03-23,SYN_LONG_OPEN,9.79,synthetic,long_horizon_market_v1,v1,true
2021-03-24,SYN_LONG_OPEN,9.71,synthetic,long_horizon_market_v1,v1,true
2021-03-25,SYN_LONG_OPEN,9.63,synthetic,long_horizon_market_v1,v1,true
2021-03-26,SYN_LONG_OPEN,9.93,synthetic,long_horizon_market_v1,v1,true
2021-03-29,SYN_LONG_OPEN,9.68,synthetic,long_horizon_market_v1,v1,true
2021-03-30,SYN_LONG_OPEN,9.98,synthetic,long_horizon_market_v1,v1,true
2021-03-31,SYN_LONG_OPEN,9.90,synthetic,long_horizon_market_v1,v1,true
2021-04-01,SYN_LONG_OPEN,9.82,synthetic,long_horizon_market_v1,v1,true
2021-04-02,SYN_LONG_OPEN,9.74,synthetic,long_horizon_market_v1,v1,true
2021-04-05,SYN_LONG_OPEN,9.87,synthetic,long_horizon_market_v1,v1,true
2021-04-06,SYN_LONG_OPEN,10.00,synthetic,long_horizon_market_v1,v1,true
2021-04-07,SYN_LONG_OPEN,10.08,synthetic,long_horizon_market_v1,v1,true
2021-04-08,SYN_LONG_OPEN,9.98,synthetic,long_horizon_market_v1,v1,true
2021-04-09,SYN_LONG_OPEN,9.88,synthetic,long_horizon_market_v1,v1,true
2021-04-12,SYN_LONG_OPEN,9.98,synthetic,long_horizon_market_v1,v1,true
2021-04-13,SYN_LONG_OPEN,9.88,synthetic,long_horizon_market_v1,v1,true
2021-04-14,SYN_LONG_OPEN,10.17,synthetic,long_horizon_market_v1,v1,true
2021-04-15,SYN_LONG_OPEN,10.07,synthetic,long_horizon_market_v1,v1,true
2021-04-16,SYN_LONG_OPEN,9.98,synthetic,long_horizon_market_v1,v1,true
2021-04-19,SYN_LONG_OPEN,10.07,synthetic,long_horizon_market_v1,v1,true
2021-04-20,SYN_LONG_OPEN,9.97,synthetic,long_horizon_market_v1,v1,true
2021-04-21,SYN_LONG_OPEN,10.26,synthetic,long_horizon_market_v1,v1,true
2021-04-22,SYN_LONG_OPEN,10.16,synthetic,long_horizon_market_v1,v1,true
2021-04-23,SYN_LONG_OPEN,10.07,synthetic,long_horizon_market_v1,v1,true
2021-04-26,SYN_LONG_OPEN,10.16,synthetic,long_horizon_market_v1,v1,true
2021-04-27,SYN_LONG_OPEN,10.06,synthetic,long_horizon_market_v1,v1,true
2021-04-28,SYN_LONG_OPEN,10.35,synthetic,long_horizon_market_v1,v1,true
2021-04-29,SYN_LONG_OPEN,10.26,synthetic,long_horizon_market_v1,v1,true
2021-04-30,SYN_LONG_OPEN,10.16,synthetic,long_horizon_market_v1,v1,true
2021-05-03,SYN_LONG_OPEN,10.32,synthetic,long_horizon_market_v1,v1,true
2021-05-04,SYN_LONG_OPEN,10.23,synthetic,long_horizon_market_v1,v1,true
2021-05-05,SYN_LONG_OPEN,10.13,synthetic,long_horizon_market_v1,v1,true
2021-05-06,SYN_LONG_OPEN,10.42,synthetic,long_horizon_market_v1,v1,true
2021-05-07,SYN_LONG_OPEN,10.32,synthetic,long_horizon_market_v1,v1,true
2021-05-10,SYN_LONG_OPEN,10.42,synthetic,long_horizon_market_v1,v1,true
2021-05-11,SYN_LONG_OPEN,10.32,synthetic,long_horizon_market_v1,v1,true
2021-05-12,SYN_LONG_OPEN,10.22,synthetic,long_horizon_market_v1,v1,true
2021-05-13,SYN_LONG_OPEN,10.12,synthetic,long_horizon_market_v1,v1,true
2021-05-14,SYN_LONG_OPEN,10.41,synthetic,long_horizon_market_v1,v1,true
2021-05-17,SYN_LONG_OPEN,10.51,synthetic,long_horizon_market_v1,v1,true
2021-05-18,SYN_LONG_OPEN,10.41,synthetic,long_horizon_market_v1,v1,true
2021-05-19,SYN_LONG_OPEN,10.31,synthetic,long_horizon_market_v1,v1,true
2021-05-20,SYN_LONG_OPEN,10.22,synthetic,long_horizon_market_v1,v1,true
2021-05-21,SYN_LONG_OPEN,10.50,synthetic,long_horizon_market_v1,v1,true
2021-05-24,SYN_LONG_OPEN,10.21,synthetic,long_horizon_market_v1,v1,true
2021-05-25,SYN_LONG_OPEN,10.50,synthetic,long_horizon_market_v1,v1,true
2021-05-26,SYN_LONG_OPEN,10.40,synthetic,long_horizon_market_v1,v1,true
2021-05-27,SYN_LONG_OPEN,10.31,synthetic,long_horizon_market_v1,v1,true
2021-05-28,SYN_LONG_OPEN,10.60,synthetic,long_horizon_market_v1,v1,true
