date,instrument,close,price_type,data_source,data_version,is_synthetic
2024-12-09,600000.SH,9.13,synthetic,product_demo_market_v1,v1,true
2024-12-10,600000.SH,9.26,synthetic,product_demo_market_v1,v1,true
2024-12-11,600000.SH,9.08,synthetic,product_demo_market_v1,v1,true
2024-12-12,600000.SH,8.91,synthetic,product_demo_market_v1,v1,true
2024-12-13,600000.SH,8.73,synthetic,product_demo_market_v1,v1,true
2024-12-16,600000.SH,9.06,synthetic,product_demo_market_v1,v1,true
2024-12-17,600000.SH,9.37,synthetic,product_demo_market_v1,v1,true
2024-12-18,600000.SH,9.38,synthetic,product_demo_market_v1,v1,true
2024-12-19,600000.SH,9.38,synthetic,product_demo_market_v1,v1,true
2024-12-20,600000.SH,9.23,synthetic,product_demo_market_v1,v1,true
2024-12-23,600000.SH,9.07,synthetic,product_demo_market_v1,v1,true
2024-12-24,600000.SH,8.92,synthetic,product_demo_market_v1,v1,true
2024-12-25,600000.SH,9.22,synthetic,product_demo_market_v1,v1,true
2024-12-26,600000.SH,9.21,synthetic,product_demo_market_v1,v1,true
2024-12-27,600000.SH,9.20,synthetic,product_demo_market_v1,v1,true
2024-12-30,600000.SH,9.48,synthetic,product_demo_market_v1,v1,true
2024-12-31,600000.SH,9.47,synthetic,product_demo_market_v1,v1,true
2025-01-01,600000.SH,9.55,synthetic,product_demo_market_v1,v1,true
2025-01-02,600000.SH,9.82,synthetic,product_demo_market_v1,v1,true
2025-01-03,600000.SH,9.79,synthetic,product_demo_market_v1,v1,true
2025-01-06,600000.SH,10.00,synthetic,product_demo_market_v1,v1,true
2025-01-07,600000.SH,10.11,synthetic,product_demo_market_v1,v1,true
2025-01-09,600000.SH,10.11,synthetic,product_demo_market_v1,v1,true
2025-01-13,600000.SH,10.30,synthetic,product_demo_market_v1,v1,true
2025-01-15,600000.SH,10.01,synthetic,product_demo_market_v1,v1,true
2025-01-17,600000.SH,10.31,synthetic,product_demo_market_v1,v1,true
2025-01-21,600000.SH,10.60,synthetic,product_demo_market_v1,v1,true
2025-01-23,600000.SH,10.52,synthetic,product_demo_market_v1,v1,true
2025-01-24,600000.SH,10.65,synthetic,product_demo_market_v1,v1,true
2025-01-27,600000.SH,10.39,synthetic,product_demo_market_v1,v1,true
2025-01-29,600000.SH,10.44,synthetic,product_demo_market_v1,v1,true
2025-01-31,600000.SH,10.39,synthetic,product_demo_market_v1,v1,true
2025-02-04,600000.SH,10.90,synthetic,product_demo_market_v1,v1,true
2025-02-06,600000.SH,10.74,synthetic,product_demo_market_v1,v1,true
2025-02-10,600000.SH,10.53,synthetic,product_demo_market_v1,v1,true
2025-02-12,600000.SH,10.57,synthetic,product_demo_market_v1,v1,true
