instrument,display_name,list_date,delist_date
SYN_POOL_A01,合成趋势一号,2022-08-01,
SYN_POOL_A02,合成震荡二号,2022-08-01,
SYN_POOL_A03,合成阴跌三号,2022-08-01,
SYN_POOL_A04,合成冲落四号,2022-08-01,
SYN_POOL_A05,合成慢牛五号,2022-08-01,
SYN_POOL_A06,合成暴涨六号,2022-08-01,
SYN_POOL_A07,合成横盘七号,2022-08-01,
SYN_POOL_A08,合成次新八号,2023-06-01,
SYN_POOL_A09,合成退市九号,2022-08-01,2024-08-26
SYN_POOL_A10,合成停牌十号,2022-08-01,
SYN_POOL_A11,合成拆股十一号,2022-08-01,
SYN_POOL_A12,合成缺口十二号,2022-08-01,
SYN_POOL_A13,合成深调十三号,2022-08-01,
SYN_POOL_A14,合成沉寂十四号,2022-08-01,
SYN_POOL_A15,合成转折十五号,2022-08-01,
SYN_POOL_A16,合成宽幅十六号,2022-08-01,
