date,instrument,close,price_type,data_source,data_version,is_synthetic
2025-01-02,SYN_WIN_SOLD,10.0,synthetic,local_behavior_fixture,v1,true
2025-01-03,SYN_WIN_SOLD,11.0,synthetic,local_behavior_fixture,v1,true
2025-01-06,SYN_WIN_SOLD,11.5,synthetic,local_behavior_fixture,v1,true
2025-01-07,SYN_WIN_SOLD,12.0,synthetic,local_behavior_fixture,v1,true
2025-01-08,SYN_WIN_SOLD,10.0,synthetic,local_behavior_fixture,v1,true
2025-01-02,SYN_LOSS_SOLD,20.0,synthetic,local_behavior_fixture,v1,true
2025-01-03,SYN_LOSS_SOLD,19.0,synthetic,local_behavior_fixture,v1,true
2025-01-06,SYN_LOSS_SOLD,18.0,synthetic,local_behavior_fixture,v1,true
2025-01-07,SYN_LOSS_SOLD,18.0,synthetic,local_behavior_fixture,v1,true
2025-01-08,SYN_LOSS_SOLD,16.0,synthetic,local_behavior_fixture,v1,true
2025-01-02,SYN_PAPER_WIN,10.0,synthetic,local_behavior_fixture,v1,true
2025-01-03,SYN_PAPER_WIN,11.0,synthetic,local_behavior_fixture,v1,true
2025-01-06,SYN_PAPER_WIN,11.5,synthetic,local_behavior_fixture,v1,true
2025-01-07,SYN_PAPER_WIN,12.0,synthetic,local_behavior_fixture,v1,true
2025-01-08,SYN_PAPER_WIN,13.0,synthetic,local_behavior_fixture,v1,true
2025-01-02,SYN_PAPER_LOSS,10.0,synthetic,local_behavior_fixture,v1,true
2025-01-03,SYN_PAPER_LOSS,9.0,synthetic,local_behavior_fixture,v1,true
2025-01-06,SYN_PAPER_LOSS,8.5,synthetic,local_behavior_fixture,v1,true
2025-01-07,SYN_PAPER_LOSS,8.0,synthetic,local_behavior_fixture,v1,true
2025-01-08,SYN_PAPER_LOSS,7.0,synthetic,local_behavior_fixture,v1,true
2025-01-02,SYN_NEUTRAL,5.0,synthetic,local_behavior_fixture,v1,true
2025-01-03,SYN_NEUTRAL,5.0,synthetic,local_behavior_fixture,v1,true
2025-01-06,SYN_NEUTRAL,5.0,synthetic,local_behavior_fixture,v1,true
2025-01-07,SYN_NEUTRAL,5.0,synthetic,local_behavior_fixture,v1,true
2025-01-08,SYN_NEUTRAL,5.0,synthetic,local_behavior_fixture,v1,true
